epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy,val_recall_cluster_0,val_recall_cluster_1,val_recall_cluster_2,epoch_time_seconds
1,0.9282001806342084,0.5315217391304348,0.9063363427701203,0.6869565217391305,0.6069950738916255,0.5995022399203584,0.8,0.6326530612244898,0.36585365853658536,38.244096994400024
2,0.8362451035043468,0.6,0.7945152826931166,0.6,0.5689881173889959,0.6182097229135556,0.55,0.9387755102040817,0.36585365853658536,30.976820945739746
3,0.7816333433856135,0.6228260869565218,0.7279761810665545,0.6,0.591649374331887,0.664211050273768,0.5142857142857142,0.673469387755102,0.8048780487804879,35.23321509361267
4,0.7822203366652779,0.6,0.8058815919834634,0.7,0.634384060206033,0.6495354239256679,0.75,0.8571428571428571,0.34146341463414637,32.69674897193909
5,0.7551939057267231,0.6423913043478261,0.9549263482508452,0.6956521739130435,0.5926184926184926,0.5631408661025387,0.8785714285714286,0.46938775510204084,0.34146341463414637,27.274897813796997
6,0.7564389964808589,0.6353260869565217,0.7321592100288556,0.6043478260869565,0.6014297928703104,0.7001991040318566,0.4714285714285714,0.7755102040816326,0.8536585365853658,26.61374807357788
7,0.7288305940835372,0.6423913043478261,0.7459986406823863,0.7043478260869566,0.6443996087062852,0.6444001991040319,0.7714285714285715,0.7959183673469388,0.36585365853658536,31.75593900680542
8,0.69987604410752,0.6679347826086957,0.6404077812381412,0.6652173913043479,0.6557890319207628,0.720706819313091,0.5857142857142857,0.7959183673469388,0.7804878048780488,26.03076195716858
9,0.6913570518079011,0.6717391304347826,0.6958275324624518,0.6826086956521739,0.6700259910231768,0.72448149991704,0.6214285714285714,0.7959183673469388,0.7560975609756098,27.142744064331055
10,0.6911601367204085,0.6869565217391305,0.6580077281464701,0.6347826086956522,0.6317820283776746,0.7243819479011117,0.5071428571428571,0.8367346938775511,0.8292682926829268,24.95343804359436
11,0.6780847300653873,0.6733695652173913,0.7652861294539078,0.6521739130434783,0.6187486488848413,0.6436867429898788,0.6428571428571429,0.8979591836734694,0.3902439024390244,24.265992879867554
12,0.674699442282967,0.6793478260869565,0.9631136749101722,0.691304347826087,0.5764202194639324,0.5793263646922183,0.8285714285714286,0.7142857142857143,0.1951219512195122,23.64205503463745
13,0.6745058365490125,0.6793478260869565,0.6560445941012839,0.7304347826086957,0.7165424836601307,0.7480172556827608,0.7,0.8367346938775511,0.7073170731707317,23.56722593307495
14,0.6649756934331811,0.7010869565217391,0.7399085335109545,0.6043478260869565,0.5985996374555468,0.6825120292019246,0.5,0.6938775510204082,0.8536585365853658,23.511981964111328
15,0.6593491225138954,0.7070652173913043,0.6553315644678862,0.6869565217391305,0.6771015175741256,0.7498589679774348,0.6,0.7959183673469388,0.8536585365853658,23.510602951049805
16,0.6445695690486742,0.7043478260869566,0.7693037214486496,0.7304347826086957,0.6573190093584792,0.6498423759747801,0.8285714285714286,0.7551020408163265,0.36585365853658536,23.745177268981934
17,0.6546259398045747,0.6989130434782609,0.6202923396359319,0.7478260869565218,0.7302900428585667,0.7619628339140534,0.7214285714285714,0.8571428571428571,0.7073170731707317,23.669483184814453
18,0.6327282003734422,0.6978260869565217,0.6073953769777132,0.7739130434782608,0.7559853979993362,0.7700597312095571,0.7785714285714286,0.7755102040816326,0.7560975609756098,23.64664387702942
19,0.6093952427739683,0.7141304347826087,0.9376117664834728,0.6869565217391305,0.5773512308564687,0.5826945412311265,0.8142857142857143,0.7142857142857143,0.21951219512195122,23.811800003051758
20,0.6374421814213629,0.7206521739130435,0.6546405196189881,0.691304347826087,0.6952768780855948,0.7442757590841215,0.6071428571428571,0.9183673469387755,0.7073170731707317,23.496384143829346
21,0.6096546458161396,0.7059782608695652,0.6710629727529442,0.6565217391304348,0.6526902803749629,0.7407084785133565,0.5357142857142857,0.8571428571428571,0.8292682926829268,23.845824003219604
22,0.6166828352472057,0.7157608695652173,0.7834925957348036,0.6956521739130435,0.6480495620058065,0.6674962667994028,0.7142857142857143,0.8979591836734694,0.3902439024390244,23.538537979125977
23,0.6199018670165021,0.6983695652173914,0.6275293935900149,0.6217391304347826,0.6175467124901731,0.7039737846358055,0.5071428571428571,0.7755102040816326,0.8292682926829268,23.28149676322937
24,0.5864538902821748,0.7380434782608696,0.9577256347822106,0.7347826086956522,0.66949899456638,0.6535506885681102,0.8357142857142857,0.7346938775510204,0.3902439024390244,23.282812118530273
25,0.5818551384884378,0.7353260869565217,0.7664278800072877,0.6,0.6001555707061469,0.7035672805707649,0.45714285714285713,0.7755102040816326,0.8780487804878049,23.693684101104736
26,0.5926070389540299,0.7309782608695652,0.8023868985798048,0.7086956521739131,0.6792022792022792,0.694541231126597,0.7142857142857143,0.8571428571428571,0.5121951219512195,23.459474802017212
27,0.6052895999473075,0.7239130434782609,0.7283094223426736,0.5043478260869565,0.5176801168933348,0.6671063547370167,0.2785714285714286,0.7959183673469388,0.926829268292683,23.351953983306885
28,0.5613609466863715,0.7358695652173913,0.6097417258698007,0.6521739130434783,0.6438952390583856,0.7321387091421934,0.5428571428571428,0.7755102040816326,0.8780487804878049,23.165915966033936
29,0.5808137836663619,0.7336956521739131,0.8594317627989727,0.5391304347826087,0.5551454913302646,0.666699850671976,0.37142857142857144,0.6530612244897959,0.975609756097561,23.359233140945435
30,0.6253814720589181,0.7059782608695652,0.6088961064815521,0.7434782608695653,0.7245651080945198,0.7525053924008628,0.7214285714285714,0.8775510204081632,0.6585365853658537,24.032021045684814
