epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy,val_recall_cluster_0,val_recall_cluster_1,val_recall_cluster_2,epoch_time_seconds
1,1.092600382929263,0.4326086956521739,1.0294092199076776,0.6608695652173913,0.5739431914528876,0.5631076820972291,0.7928571428571428,0.5306122448979592,0.36585365853658536,23.209324836730957
2,1.001038278185803,0.4956521739130435,0.8580314356347789,0.6,0.5701786090780399,0.6067197610751618,0.5857142857142857,0.673469387755102,0.5609756097560976,20.537400245666504
3,0.8891262940738512,0.5163043478260869,0.8220652751300646,0.5130434782608696,0.5191960101753916,0.6360461257673801,0.3357142857142857,0.8163265306122449,0.7560975609756098,20.436557054519653
4,0.8696440282075302,0.5456521739130434,0.7803057929743891,0.5608695652173913,0.5601637677047264,0.6410154305624688,0.45714285714285713,0.6122448979591837,0.8536585365853658,21.508780002593994
5,0.8438517508299455,0.5554347826086956,0.7795385091201119,0.6782608695652174,0.6324646714981288,0.6451551352248216,0.7214285714285714,0.6530612244897959,0.5609756097560976,21.567275047302246
6,0.8258256347283073,0.5570652173913043,0.7380056132440982,0.5956521739130435,0.5921287247430534,0.6777501244400198,0.4857142857142857,0.6938775510204082,0.8536585365853658,22.380780935287476
7,0.8153055958125902,0.5701086956521739,0.807828734750333,0.5043478260869565,0.5179543930893565,0.6184668989547039,0.35714285714285715,0.5714285714285714,0.926829268292683,21.91344714164734
8,0.7933157184849615,0.5798913043478261,0.7713881850242614,0.5478260869565217,0.5545852605177594,0.6838393894143023,0.35714285714285715,0.8163265306122449,0.8780487804878049,22.41594910621643
9,0.7857873356860617,0.5983695652173913,0.7561495915703151,0.6434782608695652,0.6159915198252365,0.6544134727061556,0.6357142857142857,0.5714285714285714,0.7560975609756098,22.240662097930908
10,0.767852330726126,0.6021739130434782,0.7464414518812429,0.691304347826087,0.6500680999478112,0.6704247552679609,0.7071428571428572,0.8163265306122449,0.4878048780487805,21.435942888259888
11,0.7688884268636289,0.6108695652173913,0.7369037747383118,0.6086956521739131,0.5964388984547028,0.6676455948232952,0.5285714285714286,0.6938775510204082,0.7804878048780488,21.189391136169434
12,0.7878879754439644,0.5875,0.6952683407327404,0.6652173913043479,0.6528073518648937,0.7149576903932303,0.5928571428571429,0.7959183673469388,0.7560975609756098,21.805924892425537
13,0.7447623937026314,0.6423913043478261,0.7042225902495177,0.7043478260869566,0.6865982043259969,0.7248880039820808,0.6714285714285714,0.7959183673469388,0.7073170731707317,20.91457200050354
14,0.7260413848835489,0.6418478260869566,0.8167222162951594,0.6260869565217392,0.594754016064257,0.6400282064045131,0.6214285714285714,0.46938775510204084,0.8292682926829268,176.80357599258423
15,0.7401633806850599,0.6364130434782609,0.7072289324325064,0.6347826086956522,0.6269388995408284,0.6965239754438363,0.55,0.7346938775510204,0.8048780487804879,23.74791193008423
16,0.7313326695690985,0.6239130434782608,0.7231297599232716,0.6782608695652174,0.6669946510950696,0.7221005475360877,0.6142857142857143,0.7959183673469388,0.7560975609756098,21.166610956192017
17,0.7259935658911,0.657608695652174,0.8129312875478164,0.591304347826087,0.5872697595369109,0.6590094574415132,0.5071428571428571,0.5918367346938775,0.8780487804878049,23.580030918121338
18,0.7271512389183045,0.6418478260869566,0.7551039239634638,0.6782608695652174,0.6567027243120639,0.6867181018748963,0.65,0.8979591836734694,0.5121951219512195,23.363514184951782
19,0.6907320064047109,0.6853260869565218,0.7081619213456692,0.6130434782608696,0.6072561559975748,0.6846192135390741,0.5142857142857142,0.7346938775510204,0.8048780487804879,21.690151929855347
20,0.7175004300863846,0.6521739130434783,0.7870853693588921,0.6347826086956522,0.5862754436645109,0.6226646756263482,0.6285714285714286,0.8979591836734694,0.34146341463414637,21.294395923614502
21,0.700614973773127,0.6711956521739131,0.6898923012225524,0.6391304347826087,0.6343352407302606,0.7152646424423429,0.5285714285714286,0.8367346938775511,0.7804878048780488,20.720220804214478
22,0.6848704752714737,0.6657608695652174,0.7168410106845524,0.6391304347826087,0.6329772125577456,0.7081881533101045,0.5357142857142857,0.8571428571428571,0.7317073170731707,23.79328417778015
23,0.7275551961815876,0.6385869565217391,0.7208046200482742,0.7434782608695653,0.7144799644799645,0.7401277584204413,0.75,0.7142857142857143,0.7560975609756098,25.297746896743774
24,0.6968824301076972,0.6619565217391304,0.7560602361741273,0.5739130434782609,0.571013235789044,0.6424091587854655,0.4857142857142857,0.6122448979591837,0.8292682926829268,22.386781930923462
25,0.6793899287348208,0.6733695652173913,0.769812803423923,0.5434782608695652,0.553803172645205,0.6593495934959349,0.38571428571428573,0.7142857142857143,0.8780487804878049,21.170669078826904
26,0.6904030405956766,0.6668478260869565,0.7470895811267521,0.6478260869565218,0.6274552714181197,0.67448149991704,0.6142857142857143,0.6530612244897959,0.7560975609756098,22.569741249084473
27,0.692707591989766,0.6853260869565218,0.677592150543047,0.6565217391304348,0.6404607589066283,0.6973701675792269,0.5928571428571429,0.8163265306122449,0.6829268292682927,22.785444021224976
28,0.6874169297840285,0.6701086956521739,0.7555351112199866,0.6956521739130435,0.659657640162549,0.6834162933466069,0.6928571428571428,0.9183673469387755,0.43902439024390244,21.858723163604736
29,0.6839224177858104,0.6983695652173914,0.6840929782908896,0.6739130434782609,0.6621823784843816,0.7210469553675128,0.6071428571428571,0.7755102040816326,0.7804878048780488,22.227811813354492
30,0.6799530293630517,0.6755434782608696,0.7110967154088228,0.7217391304347827,0.6930283139107475,0.7043388086942094,0.7357142857142858,0.8163265306122449,0.5609756097560976,22.655561923980713
